arrival_city_name_persian,arrival_time,capacity,company_name,departure_city_name_persian,departure_date,departure_date_YMD_format,departure_time,flying_class,flying_number,flying_type,national_arrival_code,national_departure_code,ticket_id,ticket_price_T
بندرعباس,08:05,7,Aseman,تهران,یکشنبه 29 مرداد,1402/05/29,06:15,737D,644,با ضمانت-بیزنس,BND,THR,44,"3,465,010"
بندرعباس,08:05,9,Aseman,تهران,یکشنبه 29 مرداد,1402/05/29,06:15,737Y,644,با ضمانت,BND,THR,43,"1,687,866"
بندرعباس,13:30,9,Qeshm,تهران,یکشنبه 29 مرداد,1402/05/29,11:45,DEFA,1220,با ضمانت,BND,THR,42,"1,653,730"
بندرعباس,08:15,9,Airtour,تهران,دوشنبه 30 مرداد,1402/05/30,06:25,MD82Y,932,با ضمانت-سیستمی,BND,THR,41,"1,696,700"
بندرعباس,16:00,9,Qeshm,تهران,دوشنبه 30 مرداد,1402/05/30,14:15,DEFA,1220,با ضمانت,BND,THR,40,"1,653,730"
,,موجود,Mahan,,چهارشنبه 01 شهریور,,05:45,E,1095,,BND,THR,81,"1,547,880"
بندرعباس,19:20,9,Qeshm,تهران,چهارشنبه 22 شهریور,1402/06/22,17:35,100A,1220,با ضمانت,BND,THR,88,"1,653,730"
بندرعباس,16:00,9,Qeshm,تهران,پنج شنبه 23 شهریور,1402/06/23,14:15,100A,1220,با ضمانت,BND,THR,89,"1,653,730"
بندرعباس,13:30,9,Qeshm,تهران,یکشنبه 26 شهریور,1402/06/26,11:45,100A,1220,با ضمانت,BND,THR,87,"1,653,730"
بندرعباس,10:50,9,Qeshm,تهران,جمعه 24 شهریور,1402/06/24,09:05,100A,1220,با ضمانت,BND,THR,86,"1,653,730"
بندرعباس,16:00,9,Qeshm,تهران,دوشنبه 27 شهریور,1402/06/27,14:15,100A,1220,با ضمانت,BND,THR,85,"1,653,730"
بندرعباس,18:00,9,Qeshm,تهران,سه شنبه 28 شهریور,1402/06/28,16:15,100A,1220,با ضمانت,BND,THR,84,"1,653,730"
بندرعباس,19:20,9,Qeshm,تهران,چهارشنبه 29 شهریور,1402/06/29,17:35,100A,1220,با ضمانت,BND,THR,83,"1,653,730"
بندرعباس,19:20,9,Qeshm,تهران,چهارشنبه 29 شهریور,1402/06/29,17:35,100A,1220,با ضمانت,BND,THR,82,"1,653,730"
بندرعباس,19:20,9,Qeshm,تهران,چهارشنبه 01 شهریور,1402/06/01,17:35,100A,1220,با ضمانت,BND,THR,80,"1,653,730"
بندرعباس,16:00,9,Qeshm,تهران,پنج شنبه 02 شهریور,1402/06/02,14:15,100A,1220,با ضمانت,BND,THR,79,"1,653,730"
بندرعباس,10:50,9,Qeshm,تهران,جمعه 03 شهریور,1402/06/03,09:05,100A,1220,با ضمانت,BND,THR,78,"1,653,730"
بندرعباس,13:30,9,Qeshm,تهران,یکشنبه 05 شهریور,1402/06/05,11:45,100A,1220,با ضمانت,BND,THR,77,"1,653,730"
بندرعباس,08:15,8,Airtour,تهران,دوشنبه 06 شهریور,1402/06/06,06:25,MD82Y,932,با ضمانت-سیستمی,BND,THR,76,"1,696,700"
بندرعباس,16:00,9,Qeshm,تهران,دوشنبه 06 شهریور,1402/06/06,14:15,100A,1220,با ضمانت,BND,THR,75,"1,653,730"
بندرعباس,18:00,9,Qeshm,تهران,سه شنبه 07 شهریور,1402/06/07,16:15,100A,1220,با ضمانت,BND,THR,74,"1,653,730"
بندرعباس,19:20,9,Qeshm,تهران,چهارشنبه 08 شهریور,1402/06/08,17:35,100A,1220,با ضمانت,BND,THR,73,"1,653,730"
بندرعباس,19:20,9,Qeshm,تهران,چهارشنبه 08 شهریور,1402/06/08,17:35,100A,1220,با ضمانت,BND,THR,72,"1,653,730"
بندرعباس,16:00,9,Qeshm,تهران,پنج شنبه 09 شهریور,1402/06/09,14:15,100A,1220,با ضمانت,BND,THR,71,"1,653,730"
بندرعباس,16:00,9,Qeshm,تهران,پنج شنبه 09 شهریور,1402/06/09,14:15,100A,1220,با ضمانت,BND,THR,70,"1,653,730"
بندرعباس,10:50,9,Qeshm,تهران,جمعه 10 شهریور,1402/06/10,09:05,100A,1220,با ضمانت,BND,THR,69,"1,653,730"
بندرعباس,10:50,9,Qeshm,تهران,جمعه 10 شهریور,1402/06/10,09:05,100A,1220,با ضمانت,BND,THR,68,"1,653,730"
بندرعباس,13:30,9,Qeshm,تهران,یکشنبه 12 شهریور,1402/06/12,11:45,100A,1220,با ضمانت,BND,THR,67,"1,653,730"
بندرعباس,13:30,9,Qeshm,تهران,یکشنبه 12 شهریور,1402/06/12,11:45,100A,1220,با ضمانت,BND,THR,66,"1,653,730"
مشهد,,موجود,Iranair,تهران,جمعه 31 شهریور,1402/06/31,19:55,A319-100J,468,با ضمانت-سیستمی بیزنس,MHD,THR,26,"2,098,000"
مشهد,10:35,موجود,Karun,تهران,جمعه 31 شهریور,1402/06/31,09:15,733TOR,2638,با ضمانت-خدمات گردشگری,MHD,THR,25,"1,765,000"
مشهد,07:50,موجود,Qeshm,تهران,جمعه 31 شهریور,1402/06/31,06:30,100A,1252,با ضمانت-سیستمی,MHD,THR,24,"1,314,800"
مشهد,,موجود,Iranair,تهران,جمعه 31 شهریور,1402/06/31,19:55,A319-100Y,468,با ضمانت-سیستمی,MHD,THR,23,"1,314,500"
مشهد,07:50,9,Qeshm,تهران,جمعه 31 شهریور,1402/06/31,06:30,100A,1252,با ضمانت,MHD,THR,22,"1,284,908"
مشهد,07:50,9,Qeshm,تهران,جمعه 31 شهریور,1402/06/31,06:30,100A,1252,با ضمانت,MHD,THR,21,"1,284,908"
مشهد,,موجود,Iranair,تهران,دوشنبه 03 مهر,1402/07/03,19:55,A319-100Y,468,با ضمانت-سیستمی,MHD,THR,20,"1,314,500"
مشهد,07:25,موجود,Mahan,تهران,سه شنبه 04 مهر,1402/07/04,05:55,310-EQV-DOMY_D,1081,با ضمانت-سیستمی,MHD,THR,19,"1,314,800"
مشهد,,موجود,Iranair,تهران,جمعه 07 مهر,1402/07/07,19:55,A319-100J,468,با ضمانت-سیستمی بیزنس,MHD,THR,18,"2,098,000"
مشهد,,موجود,Iranair,تهران,جمعه 07 مهر,1402/07/07,19:55,A319-100Y,468,با ضمانت-سیستمی,MHD,THR,17,"1,314,500"
کیش,14:30,موجود,Mahan,تهران,جمعه 31 شهریور,1402/06/31,12:45,310-EQV-DOMY_D,1043,با ضمانت-سیستمی,KIH,THR,16,"1,753,600"
کیش,18:50,9,Qeshm,تهران,جمعه 31 شهریور,1402/06/31,17:05,100A,1224,با ضمانت,KIH,THR,15,"1,708,656"
بندرعباس,16:00,9,Qeshm,تهران,پنج شنبه 16 شهریور,1402/06/16,14:15,100A,1220,با ضمانت,BND,THR,96,"1,653,730"
بندرعباس,16:00,9,Qeshm,تهران,پنج شنبه 16 شهریور,1402/06/16,14:15,100A,1220,با ضمانت,BND,THR,95,"1,653,730"
بندرعباس,10:50,9,Qeshm,تهران,جمعه 17 شهریور,1402/06/17,09:05,100A,1220,با ضمانت,BND,THR,94,"1,653,730"
بندرعباس,10:50,9,Qeshm,تهران,جمعه 17 شهریور,1402/06/17,09:05,100A,1220,با ضمانت,BND,THR,93,"1,653,730"
بندرعباس,13:30,9,Qeshm,تهران,یکشنبه 19 شهریور,1402/06/19,11:45,100A,1220,با ضمانت,BND,THR,92,"1,653,730"
بندرعباس,16:00,9,Qeshm,تهران,دوشنبه 20 شهریور,1402/06/20,14:15,100A,1220,با ضمانت,BND,THR,91,"1,653,730"
بندرعباس,18:00,9,Qeshm,تهران,سه شنبه 21 شهریور,1402/06/21,16:15,100A,1220,با ضمانت,BND,THR,90,"1,653,730"
کیش,14:10,موجود,Mahan,تهران,شنبه 01 مهر,1402/07/01,12:25,310-EQV-DOMY_D,1043,با ضمانت-سیستمی,KIH,THR,13,"1,753,600"
شیراز,,5,Iranair,تهران,جمعه 31 شهریور,1402/06/31,15:15,A319-100J,426,با ضمانت-سیستمی بیزنس,SYZ,THR,12,"2,115,500"
شیراز,13:15,موجود,Qeshm,تهران,جمعه 31 شهریور,1402/06/31,11:55,100A,1298,با ضمانت-سیستمی,SYZ,THR,11,"1,326,100"
شیراز,,موجود,Iranair,تهران,جمعه 31 شهریور,1402/06/31,15:15,A319-100Y,426,با ضمانت-سیستمی,SYZ,THR,10,"1,325,500"
شیراز,13:15,9,Qeshm,تهران,جمعه 31 شهریور,1402/06/31,11:55,100A,1298,با ضمانت,SYZ,THR,9,"1,322,478"
شیراز,13:15,9,Qeshm,تهران,جمعه 31 شهریور,1402/06/31,11:55,100A,1298,با ضمانت,SYZ,THR,8,"1,295,756"
اهواز,,موجود,Iranair,تهران,یکشنبه 02 مهر,1402/07/02,09:10,A319-100J,311,با ضمانت-سیستمی بیزنس,AWZ,THR,6,"1,925,000"
اهواز,,موجود,Iranair,تهران,یکشنبه 02 مهر,1402/07/02,09:10,A319-100Y,311,با ضمانت-سیستمی,AWZ,THR,5,"1,207,000"
کیش,14:20,موجود,Mahan,تهران,دوشنبه 03 مهر,1402/07/03,12:35,310-EQV-DOMY_D,1043,با ضمانت-سیستمی,KIH,THR,4,"1,753,600"
مشهد,09:25,موجود,Mahan,تهران,پنج شنبه 13 مهر,1402/07/13,07:35,BAE-90Y_D,1033,با ضمانت-سیستمی,MHD,THR,3,"1,314,800"
مشهد,,9,Iranair,تهران,جمعه 14 مهر,1402/07/14,19:55,A319-100J,468,با ضمانت-سیستمی بیزنس,MHD,THR,2,"2,098,000"
مشهد,,موجود,Iranair,تهران,جمعه 14 مهر,1402/07/14,19:55,A319-100Y,468,با ضمانت-سیستمی,MHD,THR,1,"1,314,500"
یزد,20:50,4,ATA,تهران,پنج شنبه 19 مرداد,1402/05/19,19:50,M83TOR,5670,با ضمانت-خدمات گردشگری,AZD,THR,99,"1,299,300"
یزد,,7,Iranair,تهران,جمعه 27 مرداد,1402/05/27,05:35,A319-100J,292,با ضمانت-سیستمی بیزنس,AZD,THR,98,"1,608,500"
,,9,Mahan,,جمعه 27 مرداد,,06:55,BAE-146B,4536,,ADU,THR,115,"1,024,400"
اهواز,23:00,موجود,Karun,تهران,سه شنبه 24 مرداد,1402/05/24,22:00,733TOR,2600,با ضمانت-خدمات گردشگری,AWZ,THR,150,"1,790,000"
اهواز,05:30,موجود,ATA,تهران,سه شنبه 24 مرداد,1402/05/24,04:30,733TOR,5627,با ضمانت-خدمات گردشگری,AWZ,THR,149,"1,550,000"
اهواز,19:00,موجود,Karun,تهران,پنج شنبه 26 مرداد,1402/05/26,18:00,733TOR,2620,با ضمانت-خدمات گردشگری,AWZ,THR,148,"1,790,000"
اهواز,08:30,موجود,Karun,تهران,پنج شنبه 26 مرداد,1402/05/26,07:30,733TOR,2674,با ضمانت-خدمات گردشگری,AWZ,THR,147,"1,790,000"
اهواز,08:30,موجود,Karun,تهران,پنج شنبه 26 مرداد,1402/05/26,07:30,733TOR,2674,با ضمانت-خدمات گردشگری,AWZ,THR,146,"1,670,000"
اهواز,08:30,موجود,Karun,تهران,پنج شنبه 26 مرداد,1402/05/26,07:30,733TOR,2674,با ضمانت-خدمات گردشگری,AWZ,THR,145,"1,640,000"
اهواز,07:00,موجود,Varesh,تهران,پنج شنبه 26 مرداد,1402/05/26,05:50,735TOR,5852,با ضمانت-خدمات گردشگری,AWZ,THR,144,"1,550,000"
اهواز,06:00,موجود,ATA,تهران,پنج شنبه 26 مرداد,1402/05/26,05:00,733TOR,5627,با ضمانت-خدمات گردشگری,AWZ,THR,143,"1,550,000"
اهواز,08:30,موجود,Karun,تهران,پنج شنبه 26 مرداد,1402/05/26,07:30,733TOR,2674,با ضمانت-خدمات گردشگری,AWZ,THR,142,"1,549,900"
اهواز,22:10,موجود,Karun,تهران,جمعه 27 مرداد,1402/05/27,21:10,100TOR,2616,با ضمانت-خدمات گردشگری,AWZ,THR,141,"1,790,000"
اهواز,15:10,موجود,Karun,تهران,جمعه 27 مرداد,1402/05/27,14:00,733TOR,2612,با ضمانت-خدمات گردشگری,AWZ,THR,140,"1,790,000"
اهواز,23:05,موجود,Varesh,تهران,جمعه 27 مرداد,1402/05/27,22:05,735TOR,5852,با ضمانت-خدمات گردشگری,AWZ,THR,139,"1,550,000"
اهواز,20:50,7,ATA,تهران,جمعه 27 مرداد,1402/05/27,19:50,M83TOR,5635,با ضمانت-خدمات گردشگری,AWZ,THR,138,"1,550,000"
اهواز,05:30,موجود,ATA,تهران,جمعه 27 مرداد,1402/05/27,04:30,733TOR,5627,با ضمانت-خدمات گردشگری,AWZ,THR,137,"1,550,000"
اهواز,20:50,موجود,ATA,تهران,دوشنبه 30 مرداد,1402/05/30,19:50,M83TOR,5635,با ضمانت-خدمات گردشگری,AWZ,THR,136,"1,550,000"
اهواز,08:00,1,Zagros,تهران,دوشنبه 30 مرداد,1402/05/30,06:45,MD8TOR,4017,با ضمانت-خدمات گردشگری,AWZ,THR,135,"1,550,000"
اهواز,07:00,موجود,Varesh,تهران,دوشنبه 30 مرداد,1402/05/30,06:00,735TOR,5852,با ضمانت-خدمات گردشگری,AWZ,THR,134,"1,550,000"
اهواز,05:30,موجود,ATA,تهران,دوشنبه 30 مرداد,1402/05/30,04:30,733TOR,5627,با ضمانت-خدمات گردشگری,AWZ,THR,133,"1,550,000"
اهواز,20:50,موجود,ATA,تهران,سه شنبه 31 مرداد,1402/05/31,19:50,M83TOR,5635,با ضمانت-خدمات گردشگری,AWZ,THR,132,"1,550,000"
اهواز,08:00,6,Zagros,تهران,سه شنبه 31 مرداد,1402/05/31,06:45,MD8TOR,4017,با ضمانت-خدمات گردشگری,AWZ,THR,131,"1,550,000"
اهواز,05:30,موجود,ATA,تهران,سه شنبه 31 مرداد,1402/05/31,04:30,733TOR,5627,با ضمانت-خدمات گردشگری,AWZ,THR,130,"1,550,000"
اهواز,09:30,موجود,Qeshm,تهران,چهارشنبه 15 شهریور,1402/06/15,08:15,100A,1210,با ضمانت-سیستمی,AWZ,THR,129,"1,207,200"
اهواز,09:30,9,Qeshm,تهران,چهارشنبه 15 شهریور,1402/06/15,08:15,100A,1210,با ضمانت,AWZ,THR,128,"1,180,910"
اهواز,09:30,9,Qeshm,تهران,چهارشنبه 15 شهریور,1402/06/15,08:15,100A,1210,با ضمانت,AWZ,THR,127,"1,180,910"
اهواز,08:15,موجود,Qeshm,تهران,پنج شنبه 30 شهریور,1402/06/30,07:00,100A,1210,با ضمانت-سیستمی,AWZ,THR,126,"1,207,200"
اهواز,,موجود,Iranair,تهران,پنج شنبه 30 شهریور,1402/06/30,06:10,F-100Y,411,با ضمانت-سیستمی,AWZ,THR,125,"1,207,000"
اهواز,08:15,9,Qeshm,تهران,پنج شنبه 30 شهریور,1402/06/30,07:00,100A,1210,با ضمانت,AWZ,THR,124,"1,180,910"
شیراز,23:05,موجود,Zagros,تهران,سه شنبه 31 مرداد,1402/05/31,21:45,MD8TOR,4077,با ضمانت-خدمات گردشگری,SYZ,THR,123,"1,550,000"
شیراز,23:00,موجود,ATA,تهران,سه شنبه 31 مرداد,1402/05/31,21:40,733TOR,5623,با ضمانت-خدمات گردشگری,SYZ,THR,122,"1,550,000"
شیراز,08:25,موجود,Qeshm,تهران,سه شنبه 14 شهریور,1402/06/14,07:05,100A,1236,با ضمانت-سیستمی,SYZ,THR,121,"1,326,100"
شیراز,,1,Iranair,تهران,سه شنبه 14 شهریور,1402/06/14,06:10,ATR72-600Y,3432,با ضمانت-سیستمی,SYZ,THR,120,"1,325,500"
شیراز,08:25,9,Qeshm,تهران,سه شنبه 14 شهریور,1402/06/14,07:05,100A,1236,با ضمانت,SYZ,THR,119,"1,322,478"
شیراز,08:25,9,Qeshm,تهران,سه شنبه 14 شهریور,1402/06/14,07:05,100A,1236,با ضمانت,SYZ,THR,118,"1,322,478"
شیراز,08:25,9,Qeshm,تهران,سه شنبه 28 شهریور,1402/06/28,07:05,100A,1236,با ضمانت,SYZ,THR,117,"1,295,756"
آبادان,20:50,9,Qeshm,تهران,شنبه 25 شهریور,1402/06/25,19:30,100A,1216,با ضمانت,ABD,THR,116,"1,249,668"
اردبیل,17:55,5,Aseman,تهران,جمعه 27 مرداد,1402/05/27,16:55,100Y,3710,با ضمانت,ADU,THR,114,"1,025,010"
اردبیل,17:55,5,Aseman,تهران,جمعه 27 مرداد,1402/05/27,16:55,100Y,3710,با ضمانت-سیستمی,ADU,THR,113,"1,024,400"
اردبیل,,موجود,Iranair,تهران,جمعه 27 مرداد,1402/05/27,10:15,F-100Y,495,با ضمانت-سیستمی,ADU,THR,112,"1,024,000"
اردبیل,19:25,موجود,Mahan,تهران,شنبه 28 مرداد,1402/05/28,18:10,BAE-87Y_D,1026,با ضمانت-سیستمی,ADU,THR,111,"1,024,400"
اردبیل,08:15,موجود,Mahan,تهران,شنبه 28 مرداد,1402/05/28,07:00,BAE-87Y_D,4536,با ضمانت-سیستمی,ADU,THR,110,"1,024,400"
اردبیل,16:30,9,Aseman,تهران,یکشنبه 29 مرداد,1402/05/29,15:30,100Y,3710,با ضمانت,ADU,THR,109,"1,025,010"
اردبیل,19:25,موجود,Mahan,تهران,یکشنبه 29 مرداد,1402/05/29,18:10,BAE-87Y_D,1026,با ضمانت-سیستمی,ADU,THR,108,"1,024,400"
اردبیل,19:25,9,Aseman,تهران,دوشنبه 30 مرداد,1402/05/30,18:25,100Y,3710,با ضمانت,ADU,THR,107,"1,025,010"
اردبیل,19:25,موجود,Mahan,تهران,دوشنبه 30 مرداد,1402/05/30,18:10,BAE-90Y_D,1026,با ضمانت-سیستمی,ADU,THR,106,"1,024,400"
اردبیل,08:15,موجود,Mahan,تهران,دوشنبه 30 مرداد,1402/05/30,07:00,BAE-90Y_D,4536,با ضمانت-سیستمی,ADU,THR,105,"1,024,400"
اردبیل,13:10,9,Aseman,تهران,سه شنبه 31 مرداد,1402/05/31,12:10,100Y,3710,با ضمانت,ADU,THR,104,"1,025,010"
اردبیل,19:25,موجود,Mahan,تهران,سه شنبه 31 مرداد,1402/05/31,18:10,BAE-90Y_D,1026,با ضمانت-سیستمی,ADU,THR,103,"1,024,400"
اردبیل,08:15,موجود,Mahan,تهران,سه شنبه 31 مرداد,1402/05/31,07:00,BAE-90Y_D,4536,با ضمانت-سیستمی,ADU,THR,102,"1,024,400"
اردبیل,19:25,موجود,Mahan,تهران,شنبه 11 شهریور,1402/06/11,18:10,BAE-90Y_D,1026,با ضمانت-سیستمی,ADU,THR,101,"1,024,400"
اردبیل,08:15,موجود,Mahan,تهران,شنبه 11 شهریور,1402/06/11,07:00,BAE-90Y_D,4536,با ضمانت-سیستمی,ADU,THR,100,"1,024,400"
,,9,Kish,,دوشنبه 23 مرداد,,23:00,MD8RR,7031,,AWZ,THR,159,"1,207,200"
,,9,Kish,,یکشنبه 22 مرداد,,22:00,RR,7031,,AWZ,THR,163,"1,207,200"
,,9,Kish,,شنبه 21 مرداد,,19:00,RR,7047,,AWZ,THR,172,"1,207,200"
,,1,Qeshm,,یکشنبه 05 شهریور,,08:00,Fokker 100A,1210,,AWZ,THR,188,"1,207,200"
,,9,Kish,,دوشنبه 23 مرداد,,23:00,MD8C,7031,بیزنس,AWZ,THR,207,"2,010,000"
اهواز,09:15,9,Qeshm,تهران,یکشنبه 19 شهریور,1402/06/19,08:00,100A,1210,با ضمانت,AWZ,THR,206,"1,180,910"
اهواز,09:30,موجود,Qeshm,تهران,چهارشنبه 22 شهریور,1402/06/22,08:15,100A,1210,با ضمانت-سیستمی,AWZ,THR,205,"1,207,200"
اهواز,,موجود,Iranair,تهران,چهارشنبه 22 شهریور,1402/06/22,21:15,F-100Y,419,با ضمانت-سیستمی,AWZ,THR,204,"1,207,000"
اهواز,09:30,9,Qeshm,تهران,چهارشنبه 22 شهریور,1402/06/22,08:15,100A,1210,با ضمانت,AWZ,THR,203,"1,180,910"
اهواز,08:15,موجود,Qeshm,تهران,پنج شنبه 23 شهریور,1402/06/23,07:00,100A,1210,با ضمانت-سیستمی,AWZ,THR,202,"1,207,200"
اهواز,,موجود,Iranair,تهران,پنج شنبه 23 شهریور,1402/06/23,06:10,F-100Y,411,با ضمانت-سیستمی,AWZ,THR,201,"1,207,000"
اهواز,08:15,9,Qeshm,تهران,پنج شنبه 23 شهریور,1402/06/23,07:00,100A,1210,با ضمانت,AWZ,THR,200,"1,180,910"
اهواز,05:55,9,Qeshm,تهران,شنبه 25 شهریور,1402/06/25,04:40,100A,1210,با ضمانت,AWZ,THR,199,"1,180,910"
اهواز,09:15,9,Qeshm,تهران,یکشنبه 26 شهریور,1402/06/26,08:00,100A,1210,با ضمانت,AWZ,THR,198,"1,180,910"
اهواز,09:30,موجود,Qeshm,تهران,چهارشنبه 29 شهریور,1402/06/29,08:15,100A,1210,با ضمانت-سیستمی,AWZ,THR,197,"1,207,200"
اهواز,,موجود,Iranair,تهران,چهارشنبه 29 شهریور,1402/06/29,21:15,F-100Y,419,با ضمانت-سیستمی,AWZ,THR,196,"1,207,000"
اهواز,09:30,9,Qeshm,تهران,چهارشنبه 29 شهریور,1402/06/29,08:15,100A,1210,با ضمانت,AWZ,THR,195,"1,180,910"
اهواز,07:00,موجود,Varesh,تهران,چهارشنبه 01 شهریور,1402/06/01,05:55,735TOR,5852,با ضمانت-خدمات گردشگری,AWZ,THR,194,"1,550,000"
اهواز,09:30,موجود,Qeshm,تهران,چهارشنبه 01 شهریور,1402/06/01,08:15,100A,1210,با ضمانت-سیستمی,AWZ,THR,193,"1,207,200"
اهواز,09:30,9,Qeshm,تهران,چهارشنبه 01 شهریور,1402/06/01,08:15,100A,1210,با ضمانت,AWZ,THR,192,"1,180,910"
اهواز,07:00,موجود,Varesh,تهران,پنج شنبه 02 شهریور,1402/06/02,05:50,735TOR,5852,با ضمانت-خدمات گردشگری,AWZ,THR,191,"1,550,000"
اهواز,08:15,موجود,Qeshm,تهران,پنج شنبه 02 شهریور,1402/06/02,07:00,100A,1210,با ضمانت-سیستمی,AWZ,THR,190,"1,207,200"
